                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5997,                 3.4677,                 2.0353,                0.51227,                0.43636,                0.27759,                0.13187,                  1.573,                 9.9497,                 2.4743,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.3639,                 2.4066,                 1.6867,                0.21117,                    0.9,                0.37699,                0.12577,                 2.5371,                 17.115,                 5.1996,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.5316,                 2.0071,                 1.7941,                0.49694,                0.37273,                0.43167,                0.23049,                 2.0432,                 2.9614,                 3.0211,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.5511,                 1.8727,                 1.7393,                0.41429,                0.33636,                0.33527,                0.13354,                 1.7625,                 33.457,                 2.6795,             0.00056612,             0.00056612,             0.00056612
                      5,                  1.567,                 1.8239,                 1.7828,                    0.2,                0.18182,                0.20003,                0.04226,                 2.8787,                 59.288,                 5.9172,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.6964,                 1.9295,                 1.9006,                    0.2,                0.18182,                0.20003,                0.04226,                 3.7439,                    inf,                 31.439,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.6856,                 1.8771,                 1.9121,                0.00149,                0.19091,                0.00087,                0.00042,                 4.9363,                    inf,                 57.928,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.7841,                 2.0112,                 1.9322,                0.00599,                0.18182,                0.00458,                0.00139,                 3.7472,                    inf,                 18.384,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.8021,                 1.8818,                 2.0205,                0.00194,                0.46364,                0.00483,                0.00091,                 3.9523,                    inf,                 364.26,               0.001228,               0.001228,               0.001228
                     10,                 1.7031,                 1.6983,                 1.8635,                0.00378,                0.75455,                0.00496,                0.00179,                 2.9415,                    inf,                 58.963,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.6468,                 1.6459,                 1.7575,                0.00545,                0.86364,                0.00648,                0.00197,                 3.0887,                    inf,                 191.82,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.7747,                 1.7177,                 1.8706,                0.00193,                0.48182,                0.00245,                0.00043,                 3.3957,                    inf,                 52.229,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6793,                 1.5848,                  1.789,                0.01157,                0.70909,                0.02535,                0.01155,                 2.4022,                    inf,                 11.601,               0.001469,               0.001469,               0.001469
