                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6283,                 5.1542,                 2.4231,                0.47824,                0.67926,                0.47193,                0.22049,                 1.3728,                 51.611,                 1.8898,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.5173,                 3.8104,                 2.0671,                0.40337,                0.77273,                0.40063,                0.18576,                   1.82,                 9.6175,                 2.1758,             0.00025533,             0.00025533,             0.00025533
                      3,                 1.5783,                  2.504,                 2.0405,                0.31898,                0.43696,                0.29754,                0.12297,                 1.5954,                 7.7829,                 2.3754,              0.0003476,              0.0003476,              0.0003476
                      4,                 1.5499,                 2.0327,                 2.0566,                0.66667,                    0.1,                0.14276,                0.04307,                 2.2121,                 17.375,                 3.4155,             0.00041017,             0.00041017,             0.00041017
                      5,                 1.5266,                 1.7369,                 2.0088,                 0.2359,                0.37273,                0.26504,                0.08511,                 2.2894,                  7.482,                 3.4066,             0.00044302,             0.00044302,             0.00044302
                      6,                 1.3564,                 1.6758,                 1.7976,                0.31659,                0.76364,                0.45469,                0.20242,                 1.9458,                  10.44,                 3.0722,             0.00044617,             0.00044617,             0.00044617
                      7,                 1.4559,                 1.5819,                 1.9731,                0.16803,                    0.6,                0.22358,                 0.0986,                 1.9303,                 9.3983,                 2.8237,             0.00041962,             0.00041962,             0.00041962
                      8,                 1.3686,                 1.5323,                   1.78,                0.05083,                0.60909,                0.09969,                0.03705,                 1.8928,                 57.369,                 2.7701,             0.00036336,             0.00036336,             0.00036336
                      9,                 1.4154,                 1.4549,                 1.8221,                0.44394,                0.85455,                 0.5272,                0.28569,                 1.4708,                 4.5712,                 1.9892,             0.00027739,             0.00027739,             0.00027739
                     10,                 1.4266,                 1.4048,                 1.8457,                0.50095,                0.88062,                0.57637,                0.31516,                 1.4419,                 2.5419,                 1.8958,             0.00016172,             0.00016172,             0.00016172
